Organization,Country,Info,Organization categorization,All ML Systems
Swiss Institute of Bioinformatics,Switzerland,,,"Genesis,DiffPALM"
Swisscom,Switzerland,,Industry,"Alleviated TOI 10 (WT103),Alleviated TOI 10 (PTB),Alleviated TOI 10 (WT2)"
Syngentech,China,,Industry,ERNIE-RNA
TAL Education Group (Xueersi),China,aka Xueersi,Industry,"MathGPT,R-Transformer"
Taptap,Spain,,Industry,"HGRN2 3B,HGRN2 1B"
Tata Group,India,,Industry,
Technical University of Denmark,Denmark,,Academia,"life2vec,MACE-MP-0,SignalP 6.0"
Technical University of Munich,Germany,,Academia,"ProtT5-XXL,Ankh_large,LSTM,StarCoder,CTC-Trained LSTM,BiLSTM for Speech,BLSTM for handwriting (1),BLSTM for handwriting (2),Ankh_base,Vespa,SeqVec,ProtBERT-BFD,GenSLM,Nucleotide Transformer,ProtT5-XXL-BFD,Predictive Coding NN,ProtBERT-UniRef,DiffDock-PP,ProstT5,TiTok-L,VespaG,Machine learning a model for RNA structure prediction,HiFi - NN,SILC-S* (86M),SILC-S,GemNet-OC ,GemNet-T (OC20)"
Technicolor R&I,France,,,SimpleNet
Technion - Israel Institute of Technology,Israel,,Academia,"Adaptive Subgrad,CALM,Binarized Neural Network (MNIST),StarCoder,Transformer-XL+AdamGapAware(GA),Lumiere,code2vec,code2seq"
Technische Universitat Berlin,Germany,,,"SO3LR,AlphaLink"
Technische Universität Dresden,Germany,,Academia,"EGRU (WT2),EGRU (PTB)"
Technische Universität Wien,Austria,,Academia,
Technology Innovation Institute,United Arab Emirates,,Government,"Falcon-40B,Falcon-180B,Falcon-7B,Falcon 2 11B,Falcon Mamba,Falcon-Arabic,Falcon-H1,Falcon3-7B"
Tecorigin LTD,China,,Industry,HelixFold3
Tel Aviv University,Israel,,Academia,"Cross-lingual alignment,DeepFace,Perfusion,ViT-G (model soup),NoPos,Lumiere,GameNGen,LIMA"
Telecom Operator ,China,,Industry,
Telecommunication Company,China,,Industry,
Telefonica,Spain,,Industry,StarCoder
Temple University School of Pharmacy,United States of America,,Academia,vScreenML 2.0
Tencent,China,,Industry,"ProteinLM,EquiDock,MBP,Hunyuan,Hunyuan-Large,VideoCrafter2,CHIEF,IgGM,Hunyuan Video,Hunyuan-DiT,Hunyuan Turbo,Hunyuan3D 2.0,Hunyuan-TurboS,Oryx 34B,Oryx 7B ,Hunyuan T1-Vision,Tencent Search LLM (腾讯搜索大模型)"
TensorTour,United States of America,,Industry,OmniVec
TensorWave,United States of America,,Industry,
Tesla,United States of America,,Industry,
Texas A&M,United States of America,,Academia,"NeuMF (Pinterest),ProteinDT,Fold2Seq,CPAC,GraphBP"
The Mount Sinai Hospital (New York),United States of America,,,TxGNN
The Scripps Research Institute,United States of America,,,ProteinChat
The University of Hong Kong,"Hong Kong,China",,Academia,"CODA,RFA-GATE-Gaussian-Stateful Big,PIXART-α,KeAP,GRITLM 7B,GRITLM 8x7B,Janus 1.3B,EPInformer,InternViT-6B, InternVL,Goku-8B,Goku+,SANA 1.5 4.8B"
The University of Tokyo,Japan,,Academia,"Subformer (122M),Subformer (83M),Subformer (96M)"
Tianjin AI Computing Center,China,,Government,
Tianjin Medical University,China,,Academia,OmniNA
Tianjin University,China,,Academia,"Tensorized Transformer (257M),TSLM+MoS (WT2),Tensorized Transformer (OBW),Tensorized Transformer (PTB),Tensorized Transformer (large PTB),Tensorized Transformer (W103),TSLM+MoS (PTB)"
Tigerobo,China,,Industry,TigerBot-70B
Together,United States of America,,Industry,"RedPajama-INCITE-7B-Base,StripedHyena-Hessian-7B,Evo,Pythia-Chat-Base-7B-v0.16"
Tohoku University,Japan,,Academia,"(ensemble): AWD-LSTM-DOC (fin) × 5 (WT2),RNN + char4-MS-vec,B2T connection (16L),(ensemble): AWD-LSTM-DOC (fin) × 5 (PTB),AWD-LSTM-DOC (fin) (37M),AWD-LSTM-DOC (fin) (23M),Fugaku-LLM,RNN + char2-MS-vec,RNN + char3-MS-vec"
Tokyo Institute of Technology,Japan,,Academia,"Fugaku-LLM,Swallow,Prothyena,IEV2MOL,Mothra"
Tokyo Medical and Dental University,Japan,,Academia,Decision tree adaline
Toloka,Multinational,https://toloka.ai/about-us/,Industry,StarCoder
Tongji University,China,,Academia,"Amended-DARTS,DNA Fine-Tuned Language Model (DFLM)"
Toshiba Cambridge Research Laboratory,United Kingdom of Great Britain and Northern Ireland,,Industry,top-down frozen classifier
TotalEnergies,France,,Industry,
Toyota Research Institute,United States of America,https://www.tri.global/,Industry,OpenVLA
Toyota Technological Institute at Chicago,United States of America,,Academia,"ALBERT-xxlarge,ALBERT,Multiscale deformable part model,Incoder-6.7B,RaptorX-Contact,GGNN,Grown to Prune Two-layer stacked LSTM,Byte-mLSTM+emb+WN+VD,Transformer+Recurrent Windows of Context,HSO,GELU for CIFAR-10"
Tsinghua University,China,,Academia,"GLM-130B,BaGuaLu,CogView,M6-10B,M6-100B,EfficientZero,CPM-Large,KEPLER,Refined Part Pooling,ShuffleNet v2,R-FCN,DenseNet-264,CogVideo,Robot Parkour,RetNet,SimCSE,DITTO,2-layer-LSTM+Deep-Gradient-Compression,CPM-2,CodeGeeX,Adversarial Joint Adaptation Network (ResNet),DeepConPred2,xTrimoPGLM -100B,ProteinLM,GGNN,Neuro-Symbolic Concept Learner,CogVLM-17B,OpenChat 3.5-7B,Emu1 (BAAI),InternImage,CoRe,DreamLLM,Amended-DARTS,RGC+ASQ (WT2),GLM-10B,CogView2,GLM-10B-unidirectional,GLM-10B-bidirectional,GLM-2B,LSTM(large)+Sememe+cell,LSTM(medium)+Sememe+cell (WT2),ADP-FAIRSEQ+NGRAMRES,CogAgent,LaMemo,ADP-FAIRSEQ + NGRAMRES,RGC+ASQ (PTB),GLM-4V-9B,YOLOv10-X,CoPRA,DrugCLIP,RNAdiffusion,ESM-AA,InstructPLM,JetFire (GPT2-LARGE),CLAPE-DB,PepGLAD,ERNIE-RNA,RNACG,BindDM,DecompDiff,CogVideoX,ChatMol,UdanDTI,RWKV-6 (Finch) 3B,RWKV-5 (Eagle) 7B,HelixFold3,MiniCPM-1.2B,MiniCPM-2.4B,MiniCPM-3-4B,DeepSeekMath 7B,CPM-Ant
,CPM-Bee,Eurus-2-7B-PRIME,InternViT-6B, InternVL,InternVL1.5,NVILA 15B,NVILA 8B,Vidu,OpenChat-13b,Oryx 34B,Oryx 7B ,InternVL2_5-26B,InternVL2_5-38B,InternVL2_5-78B,GLM-Z1-Rumination-32B-0414,GLM-4-9B-0414,Eagle 2,RDT-1B,ManiGaussian,LLaVA-CoT,Emu2,rStar-Math (Qwen2.5-Math-7B base),rStar-Math (Qwen2-Math-7B base),Grounding Dino L,Uni-Med,SANA 1.5 4.8B,SANA 1.6B,ProlificDreamer,DenseNet201"
Tsinghua-Peiking Center for Life Sciences,China,,Research collective,"DrugCLIP,DiffBindFR"
TU Berlin,Germany,,Academia,PaLM-E
TU Darmstadt,Germany,,Academia,Rational DQN Average
TUM School of Life Sciences Weihenstephan,Germany,,Academia,ProstT5
Twitter,United States of America,,Industry,"Prototypical networks,SRGAN"
U. S. Naval Research Laboratory,United States of America,,Government,MACE-MP-0
Uber AI,United States of America,,Industry,Go-explore
Ubilink AI,Taiwan,https://www.ubilink.ai/en/about_us/,Industry,
UC Davis,United States of America,,Academia,"Sparse coding model for V1 receptive fields,Memformer (4 encoder + 16 decoder)"
UC Irvine,United States of America,,Academia,"Multiscale deformable part model,LRR-4X"
UK Research and Innovation,United Kingdom of Great Britain and Northern Ireland,,Government,
Ulm University,Germany,,,CRL
ULSee Inc.,China,,Industry,DnCNN
Ultralytics,United States of America,,Industry,YOLOv8x
UMC Utrecht,,,,PARM
UnfoldML,Sweden,,,StarCoder
Universidad Nacional de Cordoba,Argentina,,Academia,Fisher Vector image classifier
Universidade de Lisboa (ULisboa),Portugal,,Academia,$\infty$-former (SM)
Universitat de Barcelona,Spain,,Academia,"PocketVec
"
Université de Lille,France,,Academia,MassiveFold
Université de technologie de Compiègne,France,,Academia,
Universite de Technologie de Compiègne – CNRS,France,,Academia,"TransE,MassiveFold,Brain2Qwerty"
Université Grenoble Alpes,France,,Academia,"Contriever,SeaMoon"
Université Paris Cité,France,,Academia,"VespaG,Novae,CodonTransformer"
Université Paris-Est,France,,Academia,Wide Residual Network
University at Buffalo,United States of America,,Academia,"Hybrid H3-2.7B,Scatterbrain,Hybrid H3-1.3B,Hybrid H3-125M,Hybrid H3-355M,Monarch-GPT-2-Medium,GPT-2-Medium+Pixelfly,Monarch-GPT-2-Small,GPT-2-Small+Pixelfly,MPNNsol,HiPPO-LegS,GPT-2 Medium (FlashAttention)"
University College London (UCL),United Kingdom of Great Britain and Northern Ireland,,Academia,"Phenaki,Inception v3,SmooCT,DARK,DeepLab (2017),Relational Memory Core,LSTM (Hebbian, Cache, MbPA),Retrieval-Augmented Generator,Contriever,DMPFold,LBL,Credibilty Network,PoE MNIST,CoPRA,Soccer Robot,Restricted Boltzmann machine for Face Recognition"
University Health Network,Canada,,,scFormer
University Medicine Greifswald,Germany,,Academia,Jaeger
University of Adelaide,Australia,,Academia,"Symmetric Residual Encoder-Decoder Net,RefineNet"
University of Alberta,Canada,,Academia,"DeepStack,UniPi"
University of Allahabad,India,,Academia,StarCoder
University of Amsterdam,Netherlands,,Academia,"ADAM (CIFAR-10),Fisher Vector image classifier,Selective Search,Image generation,Pythia-12b,Pythia-2.8b,Pythia-6.9b,Pythia-160m,Pythia-1b,Pythia-1.4b,Pythia-70m,Pythia-410m"
University of Auckland,New Zealand,,Academia,DeepFRI
University of Bayreuth,Germany,,Academia,"ProtGPT2,MACE-MP-0"
University of Bern,Switzerland,,Academia,"BLSTM for handwriting (1),BLSTM for handwriting (2)"
University of Bologna,Italy,,Academia,DDGemb
University of Bonn,Germany,,Academia,"Pooling CNN (Caltech 101),Pooling CNN (NORB),ConfRank"
University of Bristol,United Kingdom of Great Britain and Northern Ireland,,Academia,LSTM-3-layer+Gadam
University of British Columbia (UBC),Canada,,Academia,"StarCoder,MACE-MP-0,MolPhenix,RWKV-6 (Finch) 3B,RWKV-5 (Eagle) 7B,Intelligent Go-Explore (IGE),OMNI-EPIC"
University of California (UC) Berkeley,United States of America,,Academia,"Denoising Diffusion Probabilistic Models (LSUN Bedroom),EfficientZero,CURL,SqueezeBERT,CPC v2,SqueezeNet,Image-to-image cGAN,Diabetic Retinopathy Detection Net,LRCN,Fully Convolutional Networks,R-CNN (T-net),Adaptive Subgrad,RL for helicopter flight,Walking Minotaur robot,ASE,TAPE Transformer,Tensor-Transformer(1core)+PN (WT103),UniPi,Incoder-6.7B,Adversarial Joint Adaptation Network (ResNet),DiT-XL/2,ESM1v,ProteinDT,MSA Transformer,ResNet-RS,SeamlessM4T,LLaVA-NeXT-34B (LLaVA-1.6),Tacotron 2,Starling-LM-7B-alpha,6-Layer-Tensor-Transformer+AdaHessian,QT-Opt,Evo,Humanoid Locomotion,GPT-2 (AMPS),Vicuna-7B v0,Vicuna-13B v0,3-Layer-Tensor-Transformer+AdaHessian,Tensor-Transformer(1core)+PN (PTB),GELU for CIFAR-10,ESM3 (98B),ESM3-open-small,TRPO,OpenVLA,BADGER,CELLE-2,MACE-MP-0,RNA language models predict mutations that improve RNA function,Vicuna-33B-v1.3,Vicuna-13B-v1.3,Vicuna-7B-v1.3,Vicuna-7B-v1.5,Vicuna-13B-v1.5,DigiRL,NVILA 15B,NVILA 8B,Evo 2 40B,Evo 2 7B,Octo-Base,Octo-Small,LongVILA-7B,Meissonic,Prithvi-EO-2.0 600M,Prithvi-EO-2.0 300M,Flow++ (CIFAR10),Variational Lossy Autoencoder (VLAE) MNIST,PixelSNAIL (CIFAR 10),PixelSNAIL (ImageNet)"
University of California Davis,United States of America,,Academia,HaloClass
University of California Irvine,,,,Deep learning linking mechanistic models to single-cell transcriptomics data reveals transcriptional bursting in response to DNA damage
University of California Los Angeles (UCLA),United States of America,,Academia,"DeepLab,BASIC-L + Lion,TransformerXL + spectrum control,FinGPT-13B,Diffractive Deep Neural Network,Mono3D++,RGC+ASQ (WT2),TPM-LVD,FMMformer (2-kernel fast weight + Band20),MGK 4 heads (medium),MGK 8 heads (small),RGC+ASQ (PTB),MuPIPR,MACE-MP-0,T2V-Turbo-v2"
University of California Riverside,United States of America,,Academia,"RNA-DCGen,BiRNA-BERT"
University of California San Diego,United States of America,,Academia,"Theseus 6/768,MS-CNN,ResNeXt-50,Perceptron for Large Margin Classification,SRN-Encoded Grammatical Structures,Error Propagation,PDP model for serial order,Back-propagation,RT-Trajectory,NLM,GPT-2 (fine-tuned with HYDRA),RESP AI,DeepFRI,ProteinChat,Text2Protein,CRYSTALCODER,Amber,CompACT-Deep,M3GNet,NVILA 15B,NVILA 8B,MEGNet (molecule model),MEGNet (crystal formation energy model),MEGNet (crystal band gap model),MEGNet (crystal elasticity model),Coconut"
University of California San Francisco,United States of America,,Academia,"CELLE-2,RNA language models predict mutations that improve RNA function,Evo 2 40B,Evo 2 7B"
University of California Santa Barbara (UCSB),United States of America,,Academia,"OpenFlamingo,PLLaMa,T2V-Turbo-v2,RWKV-6 (Finch) 3B,RWKV-5 (Eagle) 7B,NAEPro,CryoChains"
University of California Santa Cruz,United States of America,,Academia,"RWKV-6 (Finch) 3B,RWKV-5 (Eagle) 7B"
University of Cambridge,United Kingdom of Great Britain and Northern Ireland,,Academia,"FAST,n-gram LM,Variational (untied weights, MC) LSTM (Large),WD+LR+M,Fairseq + UID: variance,LSTM-3-layer+Gadam,Pythia-12b,Pythia-2.8b,Pythia-6.9b,Pythia-160m,Pythia-1b,Pythia-1.4b,Pythia-70m,Pythia-410m,RFdiffusion,DiffSBDD (CrossDocked),GearNet,RNA-FrameFlow,MACE-MP-0,MetaMath 70B,MetaMath 7B (LLaMa finetune),MetaMath 7B (Mistral finetune),RENNAISSANCE,DiffForce,CPDiffusion,ProtENN2,F5-TTS,Llemma 34B,Llemma 7B,Pix2Struct-Large"
University of Canterbury,New Zealand,,Academia,STeLLA
University of Central Florida,United States of America,,Academia,DTI-LM
University of Chicago,United States of America,,Academia,"Multiscale deformable part model,GenSLM,Grown to Prune Two-layer stacked LSTM,Transformer+Recurrent Windows of Context,MIF-ST,ProteinReDiff"
University of Chinese Academy of Sciences,China,,Academia,"OR-WideResNet,BitNet b1.58,RNADiffFold,DecompDiff,LEGO,IgGM,RWKV-6 (Finch) 3B,RWKV-5 (Eagle) 7B,OpenOmni"
University of Copenhagen,Denmark,,Academia,"life2vec,SignalP 6.0"
University of Delaware,United States of America,,Academia,SYNTERACT
University of Edinburgh,United Kingdom of Great Britain and Northern Ireland,,Academia,"BPE,Polarity Classifier,GLEE,BOXES,MENACE,top-down frozen classifier,Transformer-XL + RMS dynamic eval,LSTM + dynamic eval,Byte-mLSTM+emb+WN+VD,AWD-LSTM + dynamic eval (PTB),AWD-LSTM + dynamic eval (WT2),Diamond,AlphaLink,RWKV-6 (Finch) 3B,RWKV-5 (Eagle) 7B,Segmental RNN"
University of Electronic Science and Technology of China,China,,Academia,"Stacked-LSTM+PruningNo,Transformer + Average Attention Network,RNA-FM"
University of Erlangen - Nuremburg,Germany,,Academia,HMM Word Alignment
University of Essex,United Kingdom of Great Britain and Northern Ireland,,Academia,
University of Exeter,United Kingdom of Great Britain and Northern Ireland,,Academia,OmniGenome
University of Florida,United States of America,,Academia,"AntiFormer,DrugFormer,Importance of higher-order epistasis in large protein sequence-function relationships"
University of Freiburg,Germany,,Academia,"Decoupled weight decay regularization,Alleviated TOI 10 (WT103),Alleviated TOI 10 (PTB),Alleviated TOI 10 (WT2),RNAformer,U-Net,BetterBodies"
University of Geneva,Switzerland,,Academia,"Samuel Neural Checkers II,Diamond"
University of Genoa,Italy,,Academia,PAPA
University of Georgia,United States of America,,Academia,BiomedGPT (182M)
University of Girona,Spain,,Academia,ZymCTRL
University of Glasgow,United Kingdom of Great Britain and Northern Ireland,,Academia,EvoMIL
University of Groningen,,,,PARM
University of Guelph,Canada,,Academia,Cutout-regularized net
University of Hyderabad,India,,Academia,Multi-cell LSTM
University of Illinois Urbana-Champaign (UIUC),United States of America,,Academia,"Word Representations,Semi-Supervised Embedding for DL,Spatial Pyramid Matching,ProBERTa,Transformer-XL Large + Phrase Induction,LMSI-Palm,Super-vector coding,AWD-LSTM + Phrase Induction + finetuning (PTB),Samba 3.8B,Protein-Mamba,DecompDiff,McMLP,CRYSTALCODER,Amber,DigiRL,Eurus-2-7B-PRIME,Diffusion Renderer,NCP-VAE (CIFAR 10),NCP-VAE (Celeba  HQ)"
University of Iowa,United States of America,,Academia,SPIDER2
University of Kansas,United States of America,,Academia,Piecewise linear model
University of Lausanne,Switzerland,,Academia,BindCraft
University of Le Mans,France,,Academia,VDCNN (on Amazon Review Full dataset)
University of Lincoln,United Kingdom of Great Britain and Northern Ireland,,Academia,PLLaMa
University of Liverpool,United Kingdom of Great Britain and Northern Ireland,,Academia,"TransformerXL-LayerFusion-CA,GPT2-LayerFusion-WS"
University of London,United Kingdom of Great Britain and Northern Ireland,,Academia,"DIABETES,Q-learning,EGRU (WT2),EGRU (PTB)"
University of Lorraine,France,,Academia,Feedback Transformer
University of Lubeck,Germany,,Academia,Sparse digit recognition SVM
University of Lugano,Switzerland,,Academia,6-layer MLP (MNIST)
University of Luxembourg,Luxembourg,,Academia,SO3LR
University of Macau,Macao,,Academia,AntiFormer
University of Maine,United States of America,,Academia,GRUs
University of Manchester,United Kingdom of Great Britain and Northern Ireland,,Academia,"aLSTM(depth-2)+RecurrentPolicy (WT2),aLSTM(depth-2)+RecurrentPolicy (PTB)"
University of Maryland,United States of America,,Academia,"Domain Adaptation,Hiero,LLaVA + LVIS-INSTRUCT4V,MiniGPT4 + LRV-Instruction,AF2RAVE,DCNN"
University of Massachusetts Amherst,United States of America,,Academia,"retrieval-quality-kNN-LMs,Transformer-C,ASE+ACE"
University of Massachusetts Lowell,United States of America,,Academia,LRCN
University of Michigan,United States of America,,Academia,"Phenaki,Stacked hourglass network,GoogLeNet / InceptionV1,Optimized Single-layer Net,Monarch-GPT-2-Medium,TripletRes,Monarch-GPT-2-Small,GAWWN"
University of Minnesota,United States of America,,Academia,"SVD in recommender systems,CoEdiT-xxl,Protein-Mamba,MindEye2"
University of Missouri,United States of America,,Academia,"DNCON2,RNA-FrameFlow,Prot2Token,TransFew"
University of Montpellier,France,,,PeTriBERT
University of Montreal / Université de Montréal,Canada,,Academia,"A3C FF hs,GRUs,Maxout Networks,Deep rectifier networks,Feedforward NN,Stacked Denoising Autoencoders,Word Representations,Denoising Autoencoders,Empirical evaluation of deep architectures,Greedy layer-wise DNN training,Fraternal dropout + AWD-LSTM 3-layer (WT2),RNN (SGD+CLR) (PTB),GPT-2+Active-SGD (WT2),Hyena-3-slim,GRU + p-tHSM (pretrain via Brown) (WT103),GRU + p-tHSM (pretrain via Brown) (PTB),GRU + p-tHSM (pretrain via Brown) (WT2),KEPLER,RNNsearch-50*,GANs,RNN (SGD+CLR),NPLM (Brown),Binarized Neural Network (MNIST),DOT(S)-RNN,HyenaDNA,ONLSTM-SYD,Fraternal dropout + AWD-LSTM 3-layer (PTB),Neural LM,AtomFlow,Protst,Structure-Informed Protein Language Model,GearNet,ESM-GearNet,FoldFlow2,FoldFlow,GearBind,MolPhenix,EnzymeFlow,Wuerstchen,Hyena 1.3B,Hyena-2 355M,Hyena-2 153M,NPLM (AP News),OC-GAN (Visual Genome),OC-GAN (COCO-Stuff)"
University of New Mexico,United States of America,,Academia,Deep Learning Enabled Discovery of Kinase Drug Targets in Pharos
University of New South Wales,Australia,,Academia,"DiffForce,CPDiffusion"
University of North Carolina,United States of America,,Academia,GoogLeNet / InceptionV1
University of Notre Dame,United States of America,,Academia,"StarCoder,VRNS-RNN-3-3-5,RNS-RNN"
University of Oslo,Norway,,Academia,Hopfield Networks (2020)
University of Oulu,Finland,,Academia,Local Binary Patterns for facial recognition
University of Oxford,United Kingdom of Great Britain and Northern Ireland,,Academia,"Hanabi 4 player,Photo-Geometric Autoencoder,Inflated 3D ConvNet,SENet (ImageNet),Spatiotemporal fusion ConvNet,CRF-RNN,VGG16,Two-stream ConvNets for action recognition,VGG19,Unsupervised Scale-Invariant Learning,Mogrifier (d2, MoS2, MC) + dynamic eval,AWD-LSTM,AbLang (heavy sequences),CaLM,Tranception,TranceptEve,Rita-XLarge,Bayesian object categorizer,LSTM-3-layer+Gadam,SPALM + RelationLM,Transformer-XL + RelationLM,E-SPA,Multipop Adaptive Continuous Stack (WT2),Multipop Adaptive Continuous Stack (PTB),Eve,RCTM,DiffSBDD (CrossDocked),Genesis,FoldFlow2,FoldFlow,MolSnapper,LearnLM-Tutor,Improved motif-scaffolding with SE(3) flow matching,VGG-Face,Template Adaptation
,DLDL (PASCAL),Aeneas"
University of Pennsylvania,United States of America,,Academia,"IBM Model 4,Iterative Bootstrapping WSD,BiomedGPT (182M),MuPIPR,CHIEF"
University of Pittsburgh,United States of America,,Academia,"Polarity Classifier,PhraseCond,AlexNet + coordinating filters,SI-PLM,Innovative Drug-like Molecule Generation from,EnOpt"
University of Rochester,United States of America,,Academia,"Residual Dense Network,FrameNet role labeling,MahLool"
University of Rome,Italy,,Academia,DiffSBDD (CrossDocked)
University of San Francisco,United States of America,,Academia,ULM-FiT
University of Science and Technology of China (USTC),China,,Academia,"SPPNet,2nd order FOFE-FNNLM,MuggleMath,ProtT3,SCUBA-D,MBP,BindDM,PocketFlow,FlexSBDD,PocketGen,FABind,InternViT-6B, InternVL,OutfitAnyone,OpenOmni"
University of Sheffield,United Kingdom of Great Britain and Northern Ireland,,Academia,"AFP+FPI (PTB),AFP+FPI (WT2),RoseTTAFold All-Atom (RFAA)"
University of Sherbrooke,Canada,,Academia,Bayesian automated hyperparameter tuning
University of Siena,Italy,,Academia,"P-LLama3,GNN,P-Llama2,P-gemma,P-Mistral"
University of South Carolina,United States of America,,Academia,MACE-MP-0
University of Southern California,United States of America,,Academia,"Phrase-based translation,Joint Probability Machine Translation,Maximum Entropy Models for machine translation,IBM Model 4,TOME,LSTM-Large+Behaviorial-Gating,TransformerXL-LayerFusion-CA,GPT2-LayerFusion-WS,AWD-LSTM+Behaviorial-Gating,LSTM-Medium+Behaviorial-Gating (PTB),CRYSTALCODER,Amber,3DMM-CNN,LIMA,HAMSTER VLM,STORM-B/8"
University of Strasbourg,France,,,eFold
University of Stuttgart,Germany,,Academia,MACE-MP-0
University of Sussex,United Kingdom of Great Britain and Northern Ireland,,Academia,Automated WSD via WordNet
University of Sydney,Australia,,Academia,"MindEye2,Lumina-Image-2.0,Vega v2"
University of Technology Sydney,Australia,,Academia,"Refined Part Pooling,LRSO-GAN,Low-Cost Collaborative Network,EN^2AS with performance reward,ProtChatGPT"
University of Texas at Austin,United States of America,,Academia,"Deep LSTM video classifier,HyperNEAT,AWD-LSTM + MoS + Partial Shuffled,Detic,AdvSoft + 4 layer QRNN + dynamic evaluation (WT103),Adversarial + AWD-LSTM-MoS + partial shuffled,4 layer QRNN + dynamic evaluation,MGK 4 heads (medium),MGK 8 heads (small),LISSOM"
University of Texas at Houston,United States of America,,Academia,MedBERT
University of Texas at San Antonio,United States of America,,Academia,Refined Part Pooling
University of Texas Health Science Center,United States of America,,,"AntiFormer,DrugFormer"
University of Texas Southwest Medical Center,United States of America,,,RoseTTAFold2-Lite
University of Toronto,Canada,,Academia,"Prototypical networks,BPL,ADAM (CIFAR-10),DBN for NLP,AlexNet,Dropout (MNIST),Dropout (TIMIT),Dropout (CIFAR),Dropout (ImageNet),Bayesian automated hyperparameter tuning,Stacked Denoising Autoencoders,ReLU (NORB),ReLU (LFW),Deep Boltzmann Machines,Semantic Hashing,Restricted Bolzmann machines,Dimensionality Reduction,Deep Belief Nets,RBM Image Classifier,RNN+weight noise+dynamic eval,PreTrans-3L-250H,DBLSTM,RNN-WER,ProteinDT,LSTM+Adam+Lookahead,Credibilty Network,Order embeddings with layer norm,Order-Embeddings of Images and Language,Layer Normalization: The Attentive Reader,Skip-Thoughts,Layer Normalization: Skip Thoughts,Layer Normalization: Draw,Layer Normalization: Handwriting sequence generation,Dropout: SVHN,SC-NLM,HLBL,ReLU-Speech,ADAPTIVE NLPM,CPCProt,Deep Autoencoders,scFormer,ProteinSGM,BP-DBN,CodonTransformer,MolPhenix,DreamerV3,Llemma 34B,Llemma 7B,Restricted Boltzmann machine for Face Recognition,ChemBERTa,Diffusion Renderer,Difix3D+,3DGUT"
University of Trento,Italy,,Academia,Selective Search
University of Tsukuba,Japan,,Academia,
University of Turku,Finland,,Academia,"BLUUMI,Poro 34B,Viking"
University of Twente,Netherlands,,Academia,Selfish-RNN (SNT-ASGD) Stacked LSTMs
University of Utah,United States of America,,Academia,FMMformer (2-kernel fast weight + Band20)
University of Vermont,United States of America,,Academia,StarCoder
University of Virginia,United States of America,,Academia,"DeepUrfold,SimPO"
University of Warwick,United Kingdom of Great Britain and Northern Ireland,,Academia,"Fractional Max-Pooling,Spatially-Sparse CNN,MACE-MP-0,Aeneas"
University of Washington,United States of America,,Academia,"Transformer ELMo,Grover-Mega,YOLOv3,ELMo,YOLOv2,YOLO,3D city reconstruction,DOC + Finetune∗ + Partial Shuffle (WT2),ViT-G (model soup),DeLighT,Transformer-XL DeFINE (141M),Incoder-6.7B,S-Norm,UnifiedQA,RoseTTAFold All-Atom (RFAA),Guanaco-65B,LUKE,BIDAF,ATLAS,Unified-IO (XL),OpenFlamingo,ALiBi (L=3072, Lvalid = 3072),T2R + Random Init,Shortformer,NoPos,RFA-GATE-Gaussian-Stateful Big,OLMo-7B,Tk-Instruct,Delphi,T2R + Pretrain,T2R 75% + Pretrain (WT-103),Transformer-XL DeFINE (107M),Adaptive LSTM + DeFINE,AWD-LSTM + DeFINE,Speaker-independent vowel classification,DOC + Finetune∗ + Partial Shuffle (PTB),OLMoE,RFdiffusion,RoseTTAFold2-Lite,ProteinGenerator,Profile Prediction,HJRSS,Re-Dock,Molmo 72B,Tulu V2 DPO 70B, Tulu 3 (Tülu 3) 70B,ChemNet,Loop-Diffusion,EnzymeFlow,MPNNsol,OLMo 2 Furious 7B,OLMo 2 Furious 13B,Segmental RNN,s1,NVILA 15B,NVILA 8B,OLMo-1B,Llemma 34B,Llemma 7B,RoBERTa Large,RoBERTa Base,xGen-MM (BLIP-3),ProteinMPNN,s1-32B,s1.1,Tulu 3 8B,Tulu 3 405B,HAMSTER VLM,Specter"
University of Waterloo,Canada,,Academia,"AR-LDM,Segatron-XL large, M=384 + HCP,Segatron XL large, M=384,Transformer Large + HCP,Segatron -XL base, M=150 + HCP,Segatron XL base, M=384,MindEye2,T2V-Turbo-v2,MAP-Neo"
University of West London,United Kingdom of Great Britain and Northern Ireland,,Academia,MMLSTM
University of Wisconsin Madison,United States of America,,Academia,"HOGWILD!,ProteinDT,LLaVA,LLaVA 1.5,LLaVA-NeXT-34B (LLaVA-1.6),ProteinSetTransformer,LM-Design,METL-Global"
University of Wollongong,Australia,,Academia,dense-IndRNN+dynamic eval
University of Zagreb,Croatia,,Academia,RiNALMo
University of Zurich,Switzerland,,Academia,"Rethinking Molecular Design: Integrating Latent Variable and Auto-Regressive Models for Goal Directed Generation,BindCraft"
University Paris-Saclay,France,,Academia,"DDPM,DDIM,ColPali"
Uppsala University,Sweden,,Academia,"AF_unmasked,MACE-MP-0"
Upstage,Korea (Republic of),,Industry,"Solar-10.7B (Solar Mini),Solar Pro"
US Department of Defense,United States of America,,Government,
US Department of Energy,United States of America,,Government,
UT Austin,United States of America,,Academia,"Diabetic Retinopathy Detection Net,LRCN,λ-WASP,Diffusion-GAN,LongVILA-7B"
Utrecht University,Netherlands,,Academia,"DDPM-IP (CelebA),Jaeger"
Valence Labs,Canada,,Industry,"MolPhenix,Boltz-2"
